BN-BN-NM,10.1038/nmat2711
GaN-BN-NM,10.1038/nmat4742
C2-C-NM,10.1126/science.1102896
Ge2-C-NM,10.1088/1367-2630/16/9/095002
Si2-C-NM,10.1088/1367-2630/16/9/095004
C6N2-C3N-NM,10.1002/adma.201605625
Fe2Se2-FeSe-AFM,10.1103/PhysRevB.84.020503
Bi2I6-BiI3-NM,10.1002/smll.201701034
Cr2I6-BiI3-FM,10.1038/nature22391
Mo2CO2-Ti2CO2-NM,10.1002/adfm.201505328
Nb2CO2-Ti2CO2-NM,10.1002/adma.201500604
Ti2CO2-Ti2CO2-NM,10.1149/2.0401803jes
V2CO2-Ti2CO2-NM,10.1149/2.0641704jes
Ti3C2H2O2-Ti3C2H2O2-NM,10.1126/science.1241488
MoSSe-MoSSe-NM,10.1038/nnano.2017.100
P4-P-NM,10.1038/nnano.2014.35
Ga2Se2-PbSe-NM,10.1021/nn405529r
In2Se2-PbSe-NM,10.1088/2053-1583/aab390
C16Ge2H48I8N4-PbA2I4-NM,10.1021/cm9505097
Pb2Br4C16Cl4H48N4-PbA2I4-NM,10.1126/science.aac7660
Pb2Br4C16H48I4N4-PbA2I4-NM,10.1126/science.aac7660
Pb2Br8C16H48N4-PbA2I4-NM,10.1126/science.aac7660
Pb2C16Cl8H48N4-PbA2I4-NM,10.1126/science.aac7660
Pb2C16H48I8N4-PbA2I4-NM,10.1126/science.aac7660
Sn2C16H48I8N4-PbA2I4-NM,10.1021/cm9505097
HfS2-CdI2-NM,10.1002/adma.201503864
MoS2-CdI2-NM,10.1038/nmat4080
MoS2-MoS2-NM,10.1103/PhysRevLett.105.136805
MoSe2-MoS2-NM,10.1364/OE.21.004908
MoTe2-MoS2-NM,10.1038/nature24043
NbS2-MoS2-FM,10.1039/C7NR05572B
NbS2-MoS2-NM,10.1039/C7NR05572B
NbSe2-MoS2-NM,10.1038/nnano.2015.143
NiSe2-CdI2-NM,10.1063/1.4991065
PtS2-CdI2-NM,10.1002/adma.201504572
PtSe2-CdI2-NM,10.1021/acs.nanolett.5b00964
SnS2-MoS2-NM,10.1039/C6TA08327G
TaS2-CdI2-NM,10.1021/acs.chemmater.6b02334
TaSe2-CdI2-NM,10.1021/acs.nanolett.7b03264
TiO2-CdI2-NM,10.1038/ncomms4813
TiS2-CdI2-NM,10.1038/nmat4251
VS2-CdI2-NM,10.1021/ja207176c
VSe2-CdI2-NM,10.1039/C6CC03854A
WS2-MoS2-NM,10.1021/nn503093k
WSe2-MoS2-NM,10.1364/OE.21.004908
WTe2-MoS2-NM,10.1038/nmat4080
ZrS2-CdI2-NM,10.1021/jacs.5b03807
ZrSe2-CdI2-NM,10.3390/app6090264
Ga2Te2-GaS-NM,10.1088/2053-1583/2/3/035010
Hf2Te6-TiS3-NM,10.1002/aelm.201600324
Ti2S6-TiS3-NM,10.1002/adom.201400043
Mo2Te4-WTe2-NM,10.1021/acs.nanolett.6b01342
W2Te4-WTe2-NM,10.1038/nphys4091
